Send message size: 1, time(secs): 0.000029
Send message size: 2, time(secs): 0.000001
Send message size: 4, time(secs): 0.000001
Send message size: 8, time(secs): 0.000000
Send message size: 16, time(secs): 0.000001
Send message size: 32, time(secs): 0.000001
Send message size: 64, time(secs): 0.000001
Send message size: 128, time(secs): 0.000001
Send message size: 256, time(secs): 0.000001
Recv message size: 1, time(secs): 0.000096
Recv message size: 2, time(secs): 0.000004
Recv message size: 4, time(secs): 0.000000
Send message size: 512, time(secs): 0.000049
Send message size: 1024, time(secs): 0.000049
Send message size: 2048, time(secs): 0.000003
Recv message size: 8, time(secs): 0.000001
Recv message size: 16, time(secs): 0.000000
Recv message size: 32, time(secs): 0.000001
Recv message size: 64, time(secs): 0.000001
Recv message size: 128, time(secs): 0.000001
Recv message size: 256, time(secs): 0.000001
Recv message size: 512, time(secs): 0.000001
Recv message size: 1024, time(secs): 0.000002
Recv message size: 2048, time(secs): 0.000003
Recv message size: 4096, time(secs): 0.000033
Recv message size: 8192, time(secs): 0.000012
Send message size: 4096, time(secs): 0.000032
Send message size: 8192, time(secs): 0.000008
Recv message size: 16384, time(secs): 0.000021
Send message size: 16384, time(secs): 0.000012
Recv message size: 32768, time(secs): 0.000047
Send message size: 32768, time(secs): 0.000034
Recv message size: 65536, time(secs): 0.000044
Send message size: 65536, time(secs): 0.000034
Recv message size: 131072, time(secs): 0.000081
Send message size: 131072, time(secs): 0.000060
Recv message size: 262144, time(secs): 0.000237
Send message size: 262144, time(secs): 0.000237
Recv message size: 524288, time(secs): 0.000400
Send message size: 524288, time(secs): 0.000410
Recv message size: 1048576, time(secs): 0.000937
Send message size: 1048576, time(secs): 0.000945
Recv message size: 2097152, time(secs): 0.001628
Send message size: 2097152, time(secs): 0.001683
Recv message size: 4194304, time(secs): 0.003190
Send message size: 4194304, time(secs): 0.003288
Recv message size: 8388608, time(secs): 0.005752
Send message size: 8388608, time(secs): 0.005911
Recv message size: 16777216, time(secs): 0.011202
Send message size: 16777216, time(secs): 0.011723
Recv message size: 33554432, time(secs): 0.027589
Send message size: 33554432, time(secs): 0.028059
Recv message size: 67108864, time(secs): 0.087449
Send message size: 67108864, time(secs): 0.088209
Recv message size: 134217728, time(secs): 0.203055
Send message size: 134217728, time(secs): 0.207233
Recv message size: 268435456, time(secs): 0.440235
Send message size: 268435456, time(secs): 0.452681
Recv message size: 536870912, time(secs): 0.896034
Send message size: 536870912, time(secs): 0.922494
